iter	RMSE
0	0.3066594472
1	0.2983488834
2	0.2906556684
3	0.2835120084
4	0.2769699004
5	0.270947136
6	0.2653041593
7	0.259740457
8	0.2548743584
9	0.2500917271
10	0.2458590089
11	0.2417710602
12	0.2379479802
13	0.2344057538
14	0.231115493
15	0.2280058024
16	0.2252124602
17	0.222641767
18	0.2201039141
19	0.2178607495
20	0.2157322108
21	0.2136125642
22	0.2117873317
23	0.2099993413
24	0.2081727667
25	0.2065972038
26	0.205165602
27	0.2036653828
28	0.2022595982
29	0.2010250748
30	0.1999017758
31	0.1987722167
32	0.1977200474
33	0.1966855647
34	0.1957505356
35	0.1948865125
36	0.1940667651
37	0.1932587571
38	0.192510035
39	0.1918218118
40	0.1911313491
41	0.1905076431
42	0.1898575545
43	0.1892537666
44	0.1886955336
45	0.1881629098
46	0.1876267305
47	0.1871998981
48	0.186674235
49	0.1862673725
50	0.1858256417
51	0.1853893805
52	0.1850303
53	0.1846450426
54	0.1843450925
55	0.18397409
56	0.1836491994
57	0.1833499146
58	0.1829969748
59	0.1827118406
60	0.1823910598
61	0.1821427109
62	0.1818772378
63	0.181674485
64	0.1814065319
65	0.1811318065
66	0.1808951295
67	0.1806811105
68	0.1804028018
69	0.1801488968
70	0.179899145
71	0.179731276
72	0.1794997674
73	0.1792835874
74	0.1791085947
75	0.1789051275
76	0.1787133376
77	0.1785723493
78	0.1782796039
79	0.1781042732
80	0.1779269662
81	0.1776967089
82	0.1775488346
83	0.177428985
84	0.1773029186
85	0.1771270008
86	0.1769708426
87	0.1768489127
88	0.1766831778
89	0.1766033393
90	0.1764644466
91	0.176335678
92	0.1762042916
93	0.1760687191
94	0.1758655834
95	0.1757359278
96	0.1756152544
97	0.1755276183
98	0.175416214
99	0.1752502993
100	0.1751628476
101	0.1750505461
102	0.1749090507
103	0.1747991711
104	0.1746900987
105	0.174556401
106	0.1743793128
107	0.1742671054
108	0.1741533197
109	0.1740782541
110	0.173964982
111	0.1738517834
112	0.1737745521
113	0.1736895873
114	0.1735961868
115	0.1735358127
116	0.1734223279
117	0.173334295
118	0.1732353058
119	0.1730981468
120	0.1730119477
121	0.1728994567
122	0.1728222752
123	0.1727552535
124	0.1726931386
125	0.1726227306
126	0.1725111862
127	0.1724142465
128	0.1723445427
129	0.172211127
130	0.1720937702
131	0.1719781476
132	0.1718857397
133	0.1718050327
134	0.1717441761
135	0.1716479828
136	0.1715764272
137	0.1715006162
138	0.1714104833
139	0.1713453327
140	0.1712537157
141	0.1711878331
142	0.1711102745
143	0.1710471315
144	0.1710210945
145	0.1709396806
146	0.1708309683
147	0.1707655367
148	0.1707024637
149	0.1706458079
150	0.1705346591
151	0.1704898261
152	0.1704065725
153	0.1703541382
154	0.170282977
155	0.1702355355
156	0.1701808363
157	0.1700981158
158	0.1700429778
159	0.1699524237
160	0.1699021731
161	0.1698607404
162	0.1698033086
163	0.1697694213
164	0.1696874976
165	0.1696394341
166	0.1695447292
167	0.1694967616
168	0.1694329724
169	0.1693794738
170	0.1693232538
171	0.1692631361
172	0.1691796502
173	0.1691497112
174	0.1690841957
175	0.1690447071
176	0.1689889544
177	0.1689591242
178	0.1688908465
179	0.1688432108
180	0.1687940458
181	0.1687406952
182	0.1686996638
183	0.1686255982
184	0.1685627422
185	0.168514825
186	0.1684728327
187	0.1684118014
188	0.1683721213
189	0.1683473578
190	0.1682900802
191	0.168220784
192	0.1681552878
193	0.1681300011
194	0.1680700866
195	0.1680372242
196	0.1680043326
197	0.1679462702
198	0.1679055972
199	0.1678689909
200	0.1678306875
201	0.167792236
202	0.1677626992
203	0.1677224671
204	0.167664615
205	0.1676296266
206	0.167585767
207	0.1675241628
208	0.1674665941
209	0.1674209508
210	0.167353557
211	0.167331567
212	0.167265188
213	0.1672103332
214	0.1671498988
215	0.1671110776
216	0.1670749999
217	0.1670293487
218	0.1669841815
219	0.1669431554
220	0.1669012679
221	0.1668775581
222	0.1668497409
223	0.1667823019
224	0.1667523627
225	0.166715063
226	0.1666545583
227	0.166601283
228	0.1665837439
229	0.1665561432
230	0.1665059483
231	0.1664602043
232	0.1664093322
233	0.1663608684
234	0.1663310083
235	0.1662909866
236	0.1662489164
237	0.1662112936
238	0.1661721419
239	0.1661368727
240	0.1660958809
241	0.166055595
242	0.1660205231
243	0.1659755415
244	0.1659605956
245	0.1659196834
246	0.1658925844
247	0.1658414355
248	0.16580231
249	0.1657626581
250	0.1657370963
251	0.1657115371
252	0.1656710564
253	0.1656234892
254	0.1655708533
255	0.1655248416
256	0.1655088264
257	0.1654855082
258	0.1654585134
259	0.1654293555
260	0.1653977561
261	0.1653554059
262	0.1653178679
263	0.165299128
264	0.1652732523
265	0.165254702
266	0.1652120849
267	0.1651867832
268	0.1651513374
269	0.1650926728
270	0.1650702166
271	0.1650413872
272	0.1650194262
273	0.1649817017
274	0.1649470999
275	0.16491595
276	0.1648908686
277	0.1648614661
278	0.1648179608
279	0.1647928141
280	0.1647712032
281	0.1647477007
282	0.1647198355
283	0.1646820499
284	0.1646576106
285	0.1646414907
286	0.1646056614
287	0.1645890665
288	0.1645663883
289	0.1645408801
290	0.1645198832
291	0.1645075636
292	0.1644752772
293	0.1644538931
294	0.1644297262
295	0.1643908248
296	0.1643633282
297	0.1643354111
298	0.164310287
299	0.1642791506
