iter	Passed	Remaining
0	41	12295
1	75	11323
2	112	11124
3	148	10969
4	181	10685
5	212	10388
6	245	10264
7	279	10214
8	314	10165
9	347	10070
10	379	9982
11	414	9939
12	448	9892
13	480	9824
14	513	9760
15	549	9755
16	581	9683
17	613	9609
18	648	9585
19	680	9521
20	715	9506
21	753	9527
22	791	9526
23	829	9541
24	874	9621
25	913	9622
26	949	9605
27	993	9652
28	1036	9684
29	1070	9636
30	1103	9578
31	1138	9534
32	1172	9485
33	1210	9467
34	1243	9415
35	1276	9364
36	1311	9325
37	1344	9272
38	1379	9230
39	1415	9200
40	1449	9158
41	1484	9119
42	1520	9087
43	1555	9049
44	1588	9003
45	1623	8965
46	1657	8922
47	1688	8864
48	1727	8846
49	1759	8796
50	1794	8760
51	1828	8722
52	1862	8677
53	1896	8640
54	1927	8587
55	1962	8548
56	1997	8516
57	2029	8469
58	2064	8431
59	2094	8379
60	2129	8344
61	2163	8303
62	2197	8266
63	2231	8229
64	2264	8188
65	2298	8149
66	2333	8113
67	2366	8074
68	2403	8045
69	2436	8005
70	2471	7970
71	2504	7932
72	2540	7898
73	2573	7860
74	2605	7817
75	2638	7775
76	2670	7734
77	2704	7696
78	2738	7660
79	2770	7620
80	2805	7584
81	2837	7542
82	2869	7501
83	2900	7458
84	2931	7414
85	2961	7369
86	2996	7335
87	3029	7298
88	3063	7262
89	3095	7223
90	3128	7184
91	3158	7141
92	3195	7111
93	3231	7082
94	3268	7052
95	3301	7016
96	3338	6986
97	3372	6951
98	3408	6919
99	3445	6891
100	3479	6856
101	3516	6825
102	3552	6794
103	3585	6758
104	3619	6721
105	3656	6691
106	3690	6656
107	3723	6620
108	3759	6586
109	3792	6551
110	3826	6516
111	3861	6482
112	3892	6441
113	3924	6402
114	3960	6371
115	3995	6337
116	4035	6311
117	4072	6280
118	4107	6247
119	4142	6213
120	4176	6178
121	4210	6142
122	4246	6110
123	4281	6076
124	4316	6043
125	4351	6009
126	4390	5980
127	4425	5946
128	4457	5908
129	4493	5876
130	4528	5842
131	4565	5810
132	4602	5778
133	4641	5749
134	4674	5713
135	4711	5681
136	4748	5650
137	4787	5620
138	4823	5587
139	4855	5549
140	4892	5516
141	4926	5481
142	4962	5448
143	4994	5410
144	5026	5373
145	5061	5338
146	5096	5304
147	5128	5267
148	5162	5231
149	5194	5194
150	5231	5162
151	5261	5123
152	5296	5088
153	5327	5050
154	5363	5017
155	5395	4980
156	5429	4945
157	5463	4909
158	5494	4872
159	5529	4838
160	5562	4802
161	5596	4767
162	5631	4733
163	5665	4698
164	5699	4663
165	5733	4627
166	5769	4594
167	5801	4558
168	5833	4522
169	5867	4486
170	5900	4451
171	5934	4416
172	5970	4383
173	6002	4346
174	6037	4312
175	6068	4275
176	6102	4240
177	6135	4205
178	6169	4170
179	6201	4134
180	6234	4099
181	6267	4063
182	6299	4027
183	6332	3992
184	6368	3958
185	6402	3924
186	6436	3889
187	6469	3854
188	6503	3819
189	6537	3784
190	6572	3750
191	6607	3716
192	6640	3681
193	6672	3645
194	6706	3611
195	6740	3576
196	6777	3543
197	6812	3509
198	6847	3475
199	6882	3441
200	6917	3407
201	6950	3372
202	6983	3336
203	7016	3301
204	7052	3268
205	7086	3233
206	7119	3198
207	7153	3164
208	7188	3130
209	7224	3096
210	7260	3062
211	7295	3028
212	7334	2995
213	7370	2961
214	7406	2928
215	7440	2893
216	7473	2858
217	7507	2823
218	7538	2788
219	7569	2752
220	7602	2717
221	7635	2682
222	7666	2647
223	7701	2612
224	7731	2577
225	7764	2542
226	7801	2508
227	7838	2475
228	7869	2439
229	7902	2405
230	7939	2371
231	7976	2337
232	8011	2303
233	8055	2271
234	8092	2238
235	8127	2204
236	8167	2171
237	8199	2136
238	8232	2101
239	8266	2066
240	8306	2033
241	8344	1999
242	8380	1965
243	8420	1932
244	8455	1898
245	8489	1863
246	8524	1829
247	8565	1795
248	8602	1761
249	8639	1727
250	8678	1694
251	8715	1660
252	8755	1626
253	8792	1592
254	8832	1558
255	8871	1524
256	8904	1489
257	8935	1454
258	8969	1419
259	9001	1384
260	9031	1349
261	9065	1314
262	9101	1280
263	9136	1245
264	9167	1210
265	9198	1175
266	9234	1141
267	9274	1107
268	9317	1073
269	9355	1039
270	9389	1004
271	9426	970
272	9460	935
273	9496	901
274	9536	866
275	9572	832
276	9606	797
277	9640	762
278	9674	728
279	9706	693
280	9740	658
281	9773	623
282	9805	589
283	9841	554
284	9878	519
285	9910	485
286	9950	450
287	9991	416
288	10027	381
289	10063	347
290	10101	312
291	10136	277
292	10172	243
293	10204	208
294	10235	173
295	10270	138
296	10301	104
297	10334	69
298	10367	34
299	10399	0
